# JGMA 116-02 (1983) gear meshing error tables, transcribed from
# docs/JGMA 116-02 1983.pdf and verified against the rendered pages.
#
# Two INDEPENDENT grade scales. A grade number on one is not the same
# tolerance as the same number on the other -- see DESIGN.md 4.6.1.
#   fine      grades 0-6,  modules 0.2-1.6, pitch diameters 1.51-400 mm
#   standard  grades 4-12, modules 1-10,    pitch diameters up to 4000 mm
#
# Bands are half-open [lo, hi). Values are micrometres.
#
# The fine table prints inclusive diameter bands stepping by 0.01 (6.01~12.00,
# then 12.01~25.00). Each upper bound is raised to the next band's lower bound
# so coverage is contiguous: a 12.00 mm gear uses the 6.01~12.00 row, as intended.
#   tooth_to_tooth  一齒嚙合誤差  single-tooth (tooth-to-tooth) composite error
#   total           全齒嚙合誤差  total composite error
scale,grade,module_lo,module_hi,diameter_lo,diameter_hi,tooth_to_tooth,total
fine,5,0.6,1,3.01,6.01,28,90
fine,5,0.6,1,6.01,12.01,30,100
fine,5,0.6,1,12.01,25.01,34,100
fine,5,0.6,1,25.01,50.01,36,112
fine,5,0.6,1,50.01,100.01,38,112
fine,5,0.6,1,100.01,200.01,40,125
fine,5,0.6,1,200.01,400.01,42,140
fine,5,1,1.6,6.01,12.01,32,100
fine,5,1,1.6,12.01,25.01,36,112
fine,5,1,1.6,25.01,50.01,36,112
fine,5,1,1.6,50.01,100.01,38,125
fine,5,1,1.6,100.01,200.01,40,125
fine,5,1,1.6,200.01,400.01,42,140
fine,6,0.2,0.6,1.51,3.01,34,112
fine,6,0.2,0.6,3.01,6.01,38,112
fine,6,0.2,0.6,6.01,12.01,40,125
fine,6,0.2,0.6,12.01,25.01,45,140
fine,6,0.2,0.6,25.01,50.01,48,140
fine,6,0.2,0.6,50.01,100.01,50,160
fine,6,0.2,0.6,100.01,200.01,53,160
fine,6,0.2,0.6,200.01,400.01,56,180
fine,6,0.6,1,3.01,6.01,40,125
fine,6,0.6,1,6.01,12.01,42,140
fine,6,0.6,1,12.01,25.01,48,140
fine,6,0.6,1,25.01,50.01,50,160
fine,6,0.6,1,50.01,100.01,53,160
fine,6,0.6,1,100.01,200.01,56,180
fine,6,0.6,1,200.01,400.01,60,180
fine,6,1,1.6,6.01,12.01,45,140
fine,6,1,1.6,12.01,25.01,50,160
fine,6,1,1.6,25.01,50.01,53,160
fine,6,1,1.6,50.01,100.01,53,180
fine,6,1,1.6,100.01,200.01,56,180
fine,6,1,1.6,200.01,400.01,60,200
standard,4,1,3.5,0,125,7,20
standard,4,1,3.5,125,400,8,22
standard,4,1,3.5,400,800,9,25
standard,4,1,3.5,800,1600,10,28
standard,4,1,3.5,1600,2500,11,32
standard,4,1,3.5,2500,4000,13,36
standard,4,3.5,6.3,0,125,9,25
standard,4,3.5,6.3,125,400,10,28
standard,4,3.5,6.3,400,800,10,28
standard,4,3.5,6.3,800,1600,11,32
standard,4,3.5,6.3,1600,2500,13,36
standard,4,3.5,6.3,2500,4000,14,40
standard,4,6.3,10,0,125,10,28
standard,4,6.3,10,125,400,11,32
standard,4,6.3,10,400,800,11,32
standard,4,6.3,10,800,1600,13,36
standard,4,6.3,10,1600,2500,14,40
standard,4,6.3,10,2500,4000,16,45
standard,5,1,3.5,0,125,10,32
standard,5,1,3.5,125,400,11,36
standard,5,1,3.5,400,800,13,40
standard,5,1,3.5,800,1600,14,45
standard,5,1,3.5,1600,2500,16,50
standard,5,1,3.5,2500,4000,18,56
standard,5,3.5,6.3,0,125,13,40
standard,5,3.5,6.3,125,400,14,45
standard,5,3.5,6.3,400,800,14,45
standard,5,3.5,6.3,800,1600,16,50
standard,5,3.5,6.3,1600,2500,18,56
standard,5,3.5,6.3,2500,4000,20,63
standard,5,6.3,10,0,125,14,45
standard,5,6.3,10,125,400,16,50
standard,5,6.3,10,400,800,16,50
standard,5,6.3,10,800,1600,18,56
standard,5,6.3,10,1600,2500,20,63
standard,5,6.3,10,2500,4000,22,71
standard,6,1,3.5,0,125,14,50
standard,6,1,3.5,125,400,16,56
standard,6,1,3.5,400,800,18,63
standard,6,1,3.5,800,1600,20,71
standard,6,1,3.5,1600,2500,22,80
standard,6,1,3.5,2500,4000,25,90
standard,6,3.5,6.3,0,125,18,63
standard,6,3.5,6.3,125,400,20,71
standard,6,3.5,6.3,400,800,20,71
standard,6,3.5,6.3,800,1600,22,80
standard,6,3.5,6.3,1600,2500,25,90
standard,6,3.5,6.3,2500,4000,28,100
standard,6,6.3,10,0,125,20,71
standard,6,6.3,10,125,400,22,80
standard,6,6.3,10,400,800,22,80
standard,6,6.3,10,800,1600,25,90
standard,6,6.3,10,1600,2500,28,100
standard,6,6.3,10,2500,4000,32,112
standard,7,1,3.5,0,125,20,71
standard,7,1,3.5,125,400,22,80
standard,7,1,3.5,400,800,25,90
standard,7,1,3.5,800,1600,28,100
standard,7,1,3.5,1600,2500,32,112
standard,7,1,3.5,2500,4000,36,125
standard,7,3.5,6.3,0,125,25,90
standard,7,3.5,6.3,125,400,28,100
standard,7,3.5,6.3,400,800,28,100
standard,7,3.5,6.3,800,1600,32,112
standard,7,3.5,6.3,1600,2500,36,125
standard,7,3.5,6.3,2500,4000,40,140
standard,7,6.3,10,0,125,28,100
standard,7,6.3,10,125,400,32,112
standard,7,6.3,10,400,800,32,112
standard,7,6.3,10,800,1600,36,125
standard,7,6.3,10,1600,2500,40,140
standard,7,6.3,10,2500,4000,45,160
standard,8,1,3.5,0,125,28,90
standard,8,1,3.5,125,400,32,100
standard,8,1,3.5,400,800,36,112
standard,8,1,3.5,800,1600,40,125
standard,8,1,3.5,1600,2500,45,140
standard,8,1,3.5,2500,4000,50,160
standard,8,3.5,6.3,0,125,36,112
standard,8,3.5,6.3,125,400,40,125
standard,8,3.5,6.3,400,800,40,125
standard,8,3.5,6.3,800,1600,45,140
standard,8,3.5,6.3,1600,2500,50,160
standard,8,3.5,6.3,2500,4000,56,180
standard,8,6.3,10,0,125,40,125
standard,8,6.3,10,125,400,45,140
standard,8,6.3,10,400,800,45,140
standard,8,6.3,10,800,1600,50,160
standard,8,6.3,10,1600,2500,56,180
standard,8,6.3,10,2500,4000,63,200
standard,9,1,3.5,0,125,36,112
standard,9,1,3.5,125,400,40,125
standard,9,1,3.5,400,800,45,140
standard,9,1,3.5,800,1600,50,160
standard,9,1,3.5,1600,2500,56,180
standard,9,1,3.5,2500,4000,63,200
standard,9,3.5,6.3,0,125,45,140
standard,9,3.5,6.3,125,400,50,160
standard,9,3.5,6.3,400,800,50,160
standard,9,3.5,6.3,800,1600,56,180
standard,9,3.5,6.3,1600,2500,63,200
standard,9,3.5,6.3,2500,4000,71,224
standard,9,6.3,10,0,125,50,160
standard,9,6.3,10,125,400,56,180
standard,9,6.3,10,400,800,56,180
standard,9,6.3,10,800,1600,63,200
standard,9,6.3,10,1600,2500,71,224
standard,9,6.3,10,2500,4000,80,250
standard,10,1,3.5,0,125,45,140
standard,10,1,3.5,125,400,50,160
standard,10,1,3.5,400,800,56,180
standard,10,1,3.5,800,1600,63,200
standard,10,1,3.5,1600,2500,71,224
standard,10,1,3.5,2500,4000,80,250
standard,10,3.5,6.3,0,125,56,180
standard,10,3.5,6.3,125,400,63,200
standard,10,3.5,6.3,400,800,63,200
standard,10,3.5,6.3,800,1600,71,224
standard,10,3.5,6.3,1600,2500,80,250
standard,10,3.5,6.3,2500,4000,90,280
standard,10,6.3,10,0,125,63,200
standard,10,6.3,10,125,400,71,224
standard,10,6.3,10,400,800,71,224
standard,10,6.3,10,800,1600,80,250
standard,10,6.3,10,1600,2500,90,280
standard,10,6.3,10,2500,4000,100,315
standard,11,1,3.5,0,125,56,180
standard,11,1,3.5,125,400,63,200
standard,11,1,3.5,400,800,71,224
standard,11,1,3.5,800,1600,80,250
standard,11,1,3.5,1600,2500,90,280
standard,11,1,3.5,2500,4000,100,315
standard,11,3.5,6.3,0,125,71,224
standard,11,3.5,6.3,125,400,80,250
standard,11,3.5,6.3,400,800,80,250
standard,11,3.5,6.3,800,1600,90,280
standard,11,3.5,6.3,1600,2500,100,315
standard,11,3.5,6.3,2500,4000,112,355
standard,11,6.3,10,0,125,80,250
standard,11,6.3,10,125,400,90,280
standard,11,6.3,10,400,800,90,280
standard,11,6.3,10,800,1600,100,315
standard,11,6.3,10,1600,2500,112,355
standard,11,6.3,10,2500,4000,125,400
standard,12,1,3.5,0,125,71,224
standard,12,1,3.5,125,400,80,250
standard,12,1,3.5,400,800,90,280
standard,12,1,3.5,800,1600,100,315
standard,12,1,3.5,1600,2500,112,355
standard,12,1,3.5,2500,4000,125,400
standard,12,3.5,6.3,0,125,90,280
standard,12,3.5,6.3,125,400,100,315
standard,12,3.5,6.3,400,800,100,315
standard,12,3.5,6.3,800,1600,112,355
standard,12,3.5,6.3,1600,2500,125,400
standard,12,3.5,6.3,2500,4000,140,450
standard,12,6.3,10,0,125,100,315
standard,12,6.3,10,125,400,112,355
standard,12,6.3,10,400,800,112,355
standard,12,6.3,10,800,1600,125,400
standard,12,6.3,10,1600,2500,140,450
standard,12,6.3,10,2500,4000,160,500
